Metric,MADDPG,LC-MAPO
Average Reward,160.9962802977181,115.65937416438922
Completed Tasks,14.207096774193548,11.226451612903226
Energy (J),705.9027978931427,673.1826373554601
Collision Events,0.0,0.0
Low Battery Events,0.0,0.0
